voyage_name,voyage_start_date,voyage_end_date,ship_name,operator_name,name,overview,price,label,is_mandatory
North Pole: The Ultimate Arctic Adventure,13-Jun-18,26-Jun-18,50 Years of Victory,Quark Expeditions,Transfer Package,Includes pre and post accommodation in Helsinkiand charter flights,2600,,TRUE
"Falkland Is, South Georgia & Antarctica",18-Oct-17,6-Nov-17,Akademic Ioffe,One Ocean Expeditions,Kayaking ,"Gear up with the best kayaking gear in the industry, to experience one of the best paddling in the world for intimate experiences. ",795,,
"Falkland Is, South Georgia & Antarctica",18-Oct-17,6-Nov-17,Akademic Ioffe,One Ocean Expeditions,Photography,"Photographer in residence provides presentations, critiques, informal instruction and assists on Zodiacs and shore landing to help you get the best shots! ",0,,
"Falkland Is, South Georgia & Antarctica",30-Nov-17,18-Dec-17,Akademic Ioffe,One Ocean Expeditions,Kayaking ,"Gear up with the best kayaking gear in the industry, to experience one of the best paddling in the world for intimate experiences. ",795,,
"Falkland Is, South Georgia & Antarctica",30-Nov-17,18-Dec-17,Akademic Ioffe,One Ocean Expeditions,Photography,"Photographer in residence provides presentations, critiques, informal instruction and assists on Zodiacs and shore landing to help you get the best shots! ",0,,
Antarctica - Off the Beaten Track,6-Nov-17,18-Nov-17,Akademic Ioffe,One Ocean Expeditions,Kayaking ,"Gear up with the best kayaking gear in the industry, to experience one of the best paddling in the world for intimate experiences. ",795,,
Antarctica - Off the Beaten Track,6-Nov-17,18-Nov-17,Akademic Ioffe,One Ocean Expeditions,Camping,All gear is provided for you to spend a night sleeping on the ice,0,,
Antarctica - Off the Beaten Track,6-Nov-17,18-Nov-17,Akademic Ioffe,One Ocean Expeditions,Photography,"Photographer in residence provides presentations, critiques, informal instruction and assists on Zodiacs and shore landing to help you get the best shots! ",0,,
Christmas in Antarctica,18-Dec-17,28-Dec-17,Akademic Ioffe,One Ocean Expeditions,Kayaking ,"Gear up with the best kayaking gear in the industry, to experience one of the best paddling in the world for intimate experiences. ",795,,
Christmas in Antarctica,18-Dec-17,28-Dec-17,Akademic Ioffe,One Ocean Expeditions,Camping,All gear is provided for you to spend a night sleeping on the ice,0,,
Christmas in Antarctica,18-Dec-17,28-Dec-17,Akademic Ioffe,One Ocean Expeditions,Photography,"Photographer in residence provides presentations, critiques, informal instruction and assists on Zodiacs and shore landing to help you get the best shots! ",0,,
Antarctica and South Georgia,28-Dec-17,13-Jan-18,Akademic Ioffe,One Ocean Expeditions,Kayaking ,"Gear up with the best kayaking gear in the industry, to experience one of the best paddling in the world for intimate experiences. ",795,,
Antarctica and South Georgia,28-Dec-17,13-Jan-18,Akademic Ioffe,One Ocean Expeditions,Photography,"Photographer in residence provides presentations, critiques, informal instruction and assists on Zodiacs and shore landing to help you get the best shots! ",0,,
Quest for the Antarctic Circle,13-Jan-18,23-Jan-18,Akademic Ioffe,One Ocean Expeditions,Kayaking ,"Gear up with the best kayaking gear in the industry, to experience one of the best paddling in the world for intimate experiences. ",795,,
Quest for the Antarctic Circle,13-Jan-18,23-Jan-18,Akademic Ioffe,One Ocean Expeditions,Camping,All gear is provided for you to spend a night sleeping on the ice,0,,
Quest for the Antarctic Circle,13-Jan-18,23-Jan-18,Akademic Ioffe,One Ocean Expeditions,Photography,"Photographer in residence provides presentations, critiques, informal instruction and assists on Zodiacs and shore landing to help you get the best shots! ",0,,
Ultimate Antarctica- Peninsula & Weddell Sea,23-Jan-18,3-Feb-18,Akademic Ioffe,One Ocean Expeditions,Kayaking ,"Gear up with the best kayaking gear in the industry, to experience one of the best paddling in the world for intimate experiences. ",795,,
Ultimate Antarctica- Peninsula & Weddell Sea,23-Jan-18,3-Feb-18,Akademic Ioffe,One Ocean Expeditions,Camping,All gear is provided for you to spend a night sleeping on the ice,0,,
Ultimate Antarctica- Peninsula & Weddell Sea,23-Jan-18,3-Feb-18,Akademic Ioffe,One Ocean Expeditions,Photography,"Photographer in residence provides presentations, critiques, informal instruction and assists on Zodiacs and shore landing to help you get the best shots! ",0,,
"Falkland Islands, South Georgia & Antarctica",3-Feb-18,20-Feb-18,Akademic Ioffe,One Ocean Expeditions,Kayaking ,"Gear up with the best kayaking gear in the industry, to experience one of the best paddling in the world for intimate experiences. ",795,,
"Falkland Islands, South Georgia & Antarctica",3-Feb-18,20-Feb-18,Akademic Ioffe,One Ocean Expeditions,Photography,"Photographer in residence provides presentations, critiques, informal instruction and assists on Zodiacs and shore landing to help you get the best shots! ",0,,
Antarctica Peninsula Adventure,20-Feb-18,2-Mar-18,Akademic Ioffe,One Ocean Expeditions,Kayaking ,"Gear up with the best kayaking gear in the industry, to experience one of the best paddling in the world for intimate experiences. ",795,,
Antarctica Peninsula Adventure,20-Feb-18,2-Mar-18,Akademic Ioffe,One Ocean Expeditions,Camping,All gear is provided for you to spend a night sleeping on the ice,0,,
Antarctica Peninsula Adventure,20-Feb-18,2-Mar-18,Akademic Ioffe,One Ocean Expeditions,Photography,"Photographer in residence provides presentations, critiques, informal instruction and assists on Zodiacs and shore landing to help you get the best shots! ",0,,
Antarctica Peninsula Adventure,2-Mar-18,12-Mar-18,Akademic Ioffe,One Ocean Expeditions,Kayaking ,"Gear up with the best kayaking gear in the industry, to experience one of the best paddling in the world for intimate experiences. ",795,,
Antarctica Peninsula Adventure,2-Mar-18,12-Mar-18,Akademic Ioffe,One Ocean Expeditions,Photography,"Photographer in residence provides presentations, critiques, informal instruction and assists on Zodiacs and shore landing to help you get the best shots! ",0,,
Antarctica Peninsula Adventure,22-Mar-18,1-Apr-18,Akademic Ioffe,One Ocean Expeditions,Kayaking ,"Gear up with the best kayaking gear in the industry, to experience one of the best paddling in the world for intimate experiences. ",795,,
Antarctica Peninsula Adventure,22-Mar-18,1-Apr-18,Akademic Ioffe,One Ocean Expeditions,Photography,"Photographer in residence provides presentations, critiques, informal instruction and assists on Zodiacs and shore landing to help you get the best shots! ",0,,
