voyage_name,voyage_start_date,voyage_end_date,ship_name,operator_name,name,overview,day_number
"Falkland Is, South Georgia & Antarctica (20 Days)",18-Oct-17,6-Nov-17,Akademic Ioffe,One Ocean Expeditions ,Ushuaia; Embarkation Day,"Our exploration of the Falklands, South Georgia and Antarctica commences in Ushuaia. Excitement is in the air as we board the ship, enjoy a welcome cocktail and dinner and cast off for the adventure of a lifetime.

On this voyage, our days are spent exploring on shore in the company of expert guides – including naturalists, marine biologists, ornithologists and adventurers as well as our resident photography professional. Cruising in our inflatable Zodiac boats is another memorable activity. For the adventurers, we provide plenty of opportunities to explore on long hikes ashore, or by sea kayak.",1
"Falkland Is, South Georgia & Antarctica (20 Days)",18-Oct-17,6-Nov-17,Akademic Ioffe,One Ocean Expeditions ,At Sea,"Sailing northeast towards the Falkland Islands we are joined by hundreds of seabirds including the wandering albatross. Throughout the day our onboard experts educate us with a series of presentations about the environment, wildlife and history of the Southern Ocean and the locations we plan to visit.",2
"Falkland Is, South Georgia & Antarctica (20 Days)",18-Oct-17,6-Nov-17,Akademic Ioffe,One Ocean Expeditions ,Falkland Islands,"Having arrived in the Falkland’s overnight, we plan to explore several locations in the West Falkland archipelago. These remote islands are home to a proliferation of seabirds and migratory birds including the stunning black-browed albatross. We see our first penguins of the trip on these islands, which could include West Point with its bustling rookeries of rockhoppers. On Carcass Island, we observe nesting Magellanic penguins as well as oystercatchers, geese and the striated caracara – a bird of prey. The following morning we arrive in Stanley, the capital of the Falklands Islands. Wandering through the quiet streets we learn how Stanley was a major port in the 19th century for the tall clipper ships rounding Cape Horn.",3
"Falkland Is, South Georgia & Antarctica (20 Days)",18-Oct-17,6-Nov-17,Akademic Ioffe,One Ocean Expeditions ,Falkland Islands,"Having arrived in the Falkland’s overnight, we plan to explore several locations in the West Falkland archipelago. These remote islands are home to a proliferation of seabirds and migratory birds including the stunning black-browed albatross. We see our first penguins of the trip on these islands, which could include West Point with its bustling rookeries of rockhoppers. On Carcass Island, we observe nesting Magellanic penguins as well as oystercatchers, geese and the striated caracara – a bird of prey. The following morning we arrive in Stanley, the capital of the Falklands Islands. Wandering through the quiet streets we learn how Stanley was a major port in the 19th century for the tall clipper ships rounding Cape Horn.",4
"Falkland Is, South Georgia & Antarctica (20 Days)",18-Oct-17,6-Nov-17,Akademic Ioffe,One Ocean Expeditions ,At Sea,We chart a south-easterly course bound for South Georgia. The seabirds once again join us in the Southern Ocean. Our educational presentations continue. History is a key theme of this voyage and the epic story of Sir Earnest Shackleton and the HMS Endurance expeditions is central to any trip to South Georgia.,5
"Falkland Is, South Georgia & Antarctica (20 Days)",18-Oct-17,6-Nov-17,Akademic Ioffe,One Ocean Expeditions ,At Sea,We chart a south-easterly course bound for South Georgia. The seabirds once again join us in the Southern Ocean. Our educational presentations continue. History is a key theme of this voyage and the epic story of Sir Earnest Shackleton and the HMS Endurance expeditions is central to any trip to South Georgia.,6
"Falkland Is, South Georgia & Antarctica (20 Days)",18-Oct-17,6-Nov-17,Akademic Ioffe,One Ocean Expeditions ,South Georgia ,"The island of South Georgia has often been called the ‘Serengeti of the Southern Ocean’ – and as we approach the deep bays of this rugged, rocky outcrop you begin to see why. Launching the Zodiacs we begin our exploration of the island in the vicinity of Elsehul Bay. Large numbers of fur seals and the much larger elephant seal line the beaches. Living in the tussock grass, king penguins and their chicks may number up to 100,000 birds in some locations, including Salisbury Plains, St Andrews Bay and Gold Harbor. The island is also home to large numbers of nesting albatross and they fill the skies above. South Georgia is a thrilling location for history buffs as the rusting relics of the early whaling industry are all around us. A highlight is a visit to Grytviken – the largest of the former whaling stations on the island, and where we visit the gravesite of Shackleton, buried here in 1921. For many, being in the presence of the great explorer is a highlight of the trip. There’s an excellent museum at Grytviken, maintained by the South Georgia Heritage Trust and the restored church, built by the original Norwegian whalers, is another highlight.",7
"Falkland Is, South Georgia & Antarctica (20 Days)",18-Oct-17,6-Nov-17,Akademic Ioffe,One Ocean Expeditions ,South Georgia ,"The island of South Georgia has often been called the ‘Serengeti of the Southern Ocean’ – and as we approach the deep bays of this rugged, rocky outcrop you begin to see why. Launching the Zodiacs we begin our exploration of the island in the vicinity of Elsehul Bay. Large numbers of fur seals and the much larger elephant seal line the beaches. Living in the tussock grass, king penguins and their chicks may number up to 100,000 birds in some locations, including Salisbury Plains, St Andrews Bay and Gold Harbor. The island is also home to large numbers of nesting albatross and they fill the skies above. South Georgia is a thrilling location for history buffs as the rusting relics of the early whaling industry are all around us. A highlight is a visit to Grytviken – the largest of the former whaling stations on the island, and where we visit the gravesite of Shackleton, buried here in 1921. For many, being in the presence of the great explorer is a highlight of the trip. There’s an excellent museum at Grytviken, maintained by the South Georgia Heritage Trust and the restored church, built by the original Norwegian whalers, is another highlight.",8
"Falkland Is, South Georgia & Antarctica (20 Days)",18-Oct-17,6-Nov-17,Akademic Ioffe,One Ocean Expeditions ,South Georgia ,"The island of South Georgia has often been called the ‘Serengeti of the Southern Ocean’ – and as we approach the deep bays of this rugged, rocky outcrop you begin to see why. Launching the Zodiacs we begin our exploration of the island in the vicinity of Elsehul Bay. Large numbers of fur seals and the much larger elephant seal line the beaches. Living in the tussock grass, king penguins and their chicks may number up to 100,000 birds in some locations, including Salisbury Plains, St Andrews Bay and Gold Harbor. The island is also home to large numbers of nesting albatross and they fill the skies above. South Georgia is a thrilling location for history buffs as the rusting relics of the early whaling industry are all around us. A highlight is a visit to Grytviken – the largest of the former whaling stations on the island, and where we visit the gravesite of Shackleton, buried here in 1921. For many, being in the presence of the great explorer is a highlight of the trip. There’s an excellent museum at Grytviken, maintained by the South Georgia Heritage Trust and the restored church, built by the original Norwegian whalers, is another highlight.",9
"Falkland Is, South Georgia & Antarctica (20 Days)",18-Oct-17,6-Nov-17,Akademic Ioffe,One Ocean Expeditions ,South Georgia ,"The island of South Georgia has often been called the ‘Serengeti of the Southern Ocean’ – and as we approach the deep bays of this rugged, rocky outcrop you begin to see why. Launching the Zodiacs we begin our exploration of the island in the vicinity of Elsehul Bay. Large numbers of fur seals and the much larger elephant seal line the beaches. Living in the tussock grass, king penguins and their chicks may number up to 100,000 birds in some locations, including Salisbury Plains, St Andrews Bay and Gold Harbor. The island is also home to large numbers of nesting albatross and they fill the skies above. South Georgia is a thrilling location for history buffs as the rusting relics of the early whaling industry are all around us. A highlight is a visit to Grytviken – the largest of the former whaling stations on the island, and where we visit the gravesite of Shackleton, buried here in 1921. For many, being in the presence of the great explorer is a highlight of the trip. There’s an excellent museum at Grytviken, maintained by the South Georgia Heritage Trust and the restored church, built by the original Norwegian whalers, is another highlight.",10
