ship_name,name,operator_name,currency,overview,start_date,end_date,embark_port,disembark_port,overview_tile,passenger_capacity,physical_rating,includes_flight,destination_name,region_names,gst
50 Years of Victory,North Pole: The Ultimate Arctic Adventure,Quark Expeditions,AUD,"That is the essence of the 14-day North Pole: The Ultimate Arctic Adventure aboard 50 Years of Victory, the most powerful nuclear icebreaker in the world. Crush through multiyear ice on the Arctic Ocean, sightsee by helicopter on the lookout for walruses, seals, whales, and polar bears, or take a tethered hot-air balloon ride at 90º N, weather permitting. Possible stops at the island of Franz Josef Land will have you in awe of the flora and fauna as you visit seabird colonies and retrace the footsteps of early explorers.",13-Jun-18,26-Jun-18,"Helsinki, Finland","Helsinki, Finland","Imagine standing at the top of the Earth, glass of champagne in hand – and everywhere you look is south. ",128,Soft Adventure,TRUE,The Arctic,North Pole,
50 Years of Victory,North Pole: The Ultimate Arctic Adventure,Quark Expeditions,AUD,"That is the essence of the 14-day North Pole: The Ultimate Arctic Adventure aboard 50 Years of Victory, the most powerful nuclear icebreaker in the world. Crush through multiyear ice on the Arctic Ocean, sightsee by helicopter on the lookout for walruses, seals, whales, and polar bears, or take a tethered hot-air balloon ride at 90º N, weather permitting. Possible stops at the island of Franz Josef Land will have you in awe of the flora and fauna as you visit seabird colonies and retrace the footsteps of early explorers.",24-Jun-18,07-Jul-18,"Helsinki, Finland","Helsinki, Finland","Imagine standing at the top of the Earth, glass of champagne in hand – and everywhere you look is south. ",128,Soft Adventure,TRUE,The Arctic,North Pole,
Akademic Ioffe,"Falkland Is, South Georgia & Antarctica",One Ocean Expeditions ,USD,"The wild and remote environments of the sub-Antarctic Falkland Islands and the island of South Georgia are home to a proliferation of unique wildlife and birdlife. There are penguin rookeries with more than 100,000 nesting birds, the beaches are covered in fur seals and elephant seals, while seabirds, including many of the albatross species, nest and raise their young. The islands have a fascinating human history as well which we will explore with our onboard experts. After exploring these sub-Antarctic islands we will continue to push south to the frozen continent itself, Antarctica. Icebergs in all shapes and sizes fill the waters, and yet more unique wildlife can be found living in sizable colonies. The waters are full of life and we frequently encounter whales including humpback, minke and orca.",18-Oct-17,6-Nov-17,Ushuaia,Ushuaia,"The Akademic Ioffe's most far-reaching polar expedition, taking in three different locations including one of the greatest wildlife shows on earth.",96,Soft Adventure,FALSE,Antarctica,"Antarctic Peninsula, South Shetland Islands, Falkland Islands, South Georgia ",0
Akademic Ioffe,"Falkland Is, South Georgia & Antarctica",One Ocean Expeditions ,USD,"The wild and remote environments of the sub-Antarctic Falkland Islands and the island of South Georgia are home to a proliferation of unique wildlife and birdlife. There are penguin rookeries with more than 100,000 nesting birds, the beaches are covered in fur seals and elephant seals, while seabirds, including many of the albatross species, nest and raise their young. The islands have a fascinating human history as well which we will explore with our onboard experts. After exploring these sub-Antarctic islands we will continue to push south to the frozen continent itself, Antarctica. Icebergs in all shapes and sizes fill the waters, and yet more unique wildlife can be found living in sizable colonies. The waters are full of life and we frequently encounter whales including humpback, minke and orca.",30-Nov-17,18-Dec-17,Ushuaia,Ushuaia,"The Akademic Ioffe's most far-reaching polar expedition, taking in three different locations including one of the greatest wildlife shows on earth.",96,Soft Adventure,FALSE,Antarctica,"Antarctic Peninsula, South Shetland Islands, Falkland Islands, South Georgia ",0
Akademic Ioffe,Antarctica - Off the Beaten Track,One Ocean Expeditions ,USD,"Passengers benefit from the expedition ship being used as a mobile basecamp wilderness lodge to discover the white continent at everyone’s own pace! Travelling on a true small expedition ship with high ice rating unlocks great wildlife sightings, because Chinstrap, Gentoo and Adelie penguin colonies, whales, seals and sea birds return to the plentiful feeding grounds of the Antarctic peninsula.",6-Nov-17,18-Nov-17,Ushuaia,Ushuaia,"Only on this Antarctic expedition are extended hikes, snowshoeing, enhanced photography excursions, overnight sea kayaking and ski touring are possible combined on one voyage.",96,Soft Adventure,FALSE,Antarctica,"Antarctic Peninsula, South Shetland Islands",0
Akademic Ioffe,Christmas in Antarctica,One Ocean Expeditions ,USD,"Towering glaciers, amazing wildlife encounters, snow-covered landscapes, massive icebergs and the option to choose your favorite activities each day make this voyage the perfect way to spend the holiday season. In the waters of the Antarctic Peninsula, we spend our days off the ship exploring by Zodiac boat, making several shore landings each day in the company of our expert guides. We discover Antarctica and its remarkable wildlife through photography, zodiac excursions, hiking onshore, and, for the more adventurous, camping and sea kayaking. Visits to historic huts and the opportunity to visit a working research station add another dimension to the voyage. This popular 10-night expedition, at the height of the Antarctic summer, features many of the well-known landing sites such as Neko, Paradise and Orne Harbours, Cuverville Island and the Erera Channel – and, ice conditions permitting, we hope to transit the spectacular Lemaire Channel. A final highlight will be a visit to the beautiful South Shetland Islands where we hope to visit Deception Island and nearby locations such as Half Moon Island or Hannah Point.",18-Dec-17,28-Dec-17,Ushuaia,Ushuaia,"The ultimate ‘White Christmas’ on a memorable voyage to the Antarctic Peninsula.
Exceptional family packages available, please ask us. ",96,Soft Adventure,FALSE,Antarctica,"Antarctic Peninsula, South Shetland Islands",0
Akademic Ioffe,Antarctica and South Georgia,One Ocean Expeditions ,USD,"This new voyage takes place at the height of the Antarctic summer. We enjoy extended daylight hours at this time of the season, the wildlife colonies are busy and as the sea ice continues to break up, allowing a range of landing sites to explore as well as making a stop at one of the greatest wildlife spots on the planet.",28-Dec-17,13-Jan-18,Ushuaia,Punta Arenas ,Celebrate the New Year in Antarctica and follow the footsteps of Shackleton to South Georgia!,96,Soft Adventure,TRUE,Antarctica,"Antarctic Peninsula, South Shetland Islands, Falkland Islands, South Georgia ",0
Akademic Ioffe,Quest for the Antarctic Circle,One Ocean Expeditions ,USD,"Utilizing our decades of experience, we have designed a new voyage allowing us to reach our objective of the Antarctic Circle in just 11 days. On the way south, we enjoy eight days of off-ship exploration visiting a large number of landing sites and cruising among the ice floes in our Zodiac boats, before reaching the Antarctic Circle in the vicinity of Detaille Island.",13-Jan-18,23-Jan-18,Punta Arenas,Punta Arenas ,An 11 day expedition exploring the Antarctic Circle and allowing 8 days of true Antarctic experiences,96,Soft Adventure,TRUE,Antarctica,"Antarctic Peninsula, South Shetland Islands, Antarctic Circle",0
Akademic Ioffe,Ultimate Antarctica- Peninsula & Weddell Sea,One Ocean Expeditions ,USD,"This exciting expedition provides great diversity and will appeal to those seeking a truly comprehensive Antarctic experience. It includes visits to the South Shetland Islands, the western and northern sections of the Antarctic Peninsula, the stunning Weddell Sea region, and the historic location of Elephant Island – a place forever connected to the epic story of Sir Ernest Shackleton. Adding to the experience will be a visit to several locations in the Falkland Islands, including the homes of nesting albatross and the colorful King penguin. Throughout the voyage, our expedition ship acts as a floating wilderness lodge, which we reposition every day to yet another exciting location. You will be spoiled for choice by all of the activities we have planned.",23-Jan-18,3-Feb-18,Punta Arenas,Punta Arenas ,"Exploring both coastlines of the Antarctic Peninsula, this voyages delivers a diverse program, which 
incorporates the South Shetland Is, the Weddell Sea, Elephant Is and of couse the Antarctic Peninsula",96,Soft Adventure,TRUE,Antarctica,"Antarctic Peninsula, South Shetland Islands, Weddell Sea",0
Akademic Ioffe,"Falkland Islands, South Georgia & Antarctica",One Ocean Expeditions ,USD,"The wild and remote environments of the sub-Antarctic Falkland Islands and the island of South Georgia are home to a proliferation of unique wildlife and birdlife. There are penguin rookeries with more than 100,000 nesting birds, the beaches are covered in fur seals and elephant seals, while seabirds, including many of the albatross species, nest and raise their young. The islands have a fascinating human history as well which we will explore with our onboard experts. After exploring these sub-Antarctic islands we will continue to push south to the frozen continent itself, Antarctica. Icebergs in all shapes and sizes fill the waters, and yet more unique wildlife can be found living in sizable colonies. The waters are full of life and we frequently encounter whales including humpback, minke and orca.",3-Feb-18,20-Feb-18,Punta Arenas,Ushuaia,"The Akademic Ioffe's most far-reaching polar expedition, taking in three different locations including one of the greatest wildlife shows on earth.",96,Soft Adventure,TRUE,Antarctica,"Antarctic Peninsula, South Shetland Islands, Falkland Islands, South Georgia ",0
