Voyage Itinerary,Start Date,Finish Date,Cabin class,Cabin price,Single Supplement
"Falkland Is, South Georgia and Antarctic Islands",23-Oct-17,13-Nov-17,Quad,13999,
"Falkland Is, South Georgia and Antarctic Islands",23-Oct-17,13-Nov-17,Triple,15799,
"Falkland Is, South Georgia and Antarctic Islands",23-Oct-17,13-Nov-17,Twin Porthole,17499,1.6
"Falkland Is, South Georgia and Antarctic Islands",23-Oct-17,13-Nov-17,Twin Window,18999,1.6
"Falkland Is, South Georgia and Antarctic Islands",23-Oct-17,13-Nov-17,Superior Twin,19999,1.6
"Falkland Is, South Georgia and Antarctic Islands",23-Oct-17,13-Nov-17,Suite,21999,1.6
Antarctic Classic in Depth,12-Nov-17,24-Nov-17,Quad,8499,
Antarctic Classic in Depth,12-Nov-17,24-Nov-17,Triple,9499,
Antarctic Classic in Depth,12-Nov-17,24-Nov-17,Twin Porthole,10999,1.6
Antarctic Classic in Depth,12-Nov-17,24-Nov-17,Twin Window,11999,1.6
Antarctic Classic in Depth,12-Nov-17,24-Nov-17,Superior Twin,13299,1.6
Antarctic Classic in Depth,12-Nov-17,24-Nov-17,Suite,14999,1.6
Spirit of Shackleton,23-Nov-17,13-Dec-17,Quad,13999,
Spirit of Shackleton,23-Nov-17,13-Dec-17,Triple,14999,
Spirit of Shackleton,23-Nov-17,13-Dec-17,Twin Porthole,19999,1.6
Spirit of Shackleton,23-Nov-17,13-Dec-17,Twin Window,21999,1.6
Spirit of Shackleton,23-Nov-17,13-Dec-17,Superior Twin,25999,1.6
Spirit of Shackleton,23-Nov-17,13-Dec-17,Suite,29999,1.6
Spirit of Shackleton,11-Jan-18,31-Jan-18,Quad,17999,
Spirit of Shackleton,11-Jan-18,31-Jan-18,Triple,18999,
Spirit of Shackleton,11-Jan-18,31-Jan-18,Twin Porthole,22999,1.6
Spirit of Shackleton,11-Jan-18,31-Jan-18,Twin Window,25999,1.6
Spirit of Shackleton,11-Jan-18,31-Jan-18,Superior Twin,28999,1.6
Spirit of Shackleton,11-Jan-18,31-Jan-18,Suite,30999,1.6
Antarctic Classic,12-Dec-17,22-Dec-17,Quad,7799,
Antarctic Classic,12-Dec-17,22-Dec-17,Triple,8499,
Antarctic Classic,12-Dec-17,22-Dec-17,Twin Porthole,9999,1.6
Antarctic Classic,12-Dec-17,22-Dec-17,Twin Window,11499,1.6
Antarctic Classic,12-Dec-17,22-Dec-17,Superior Twin,12999,1.6
Antarctic Classic,12-Dec-17,22-Dec-17,Suite,14499,1.6
Antarctic Classic,2-Jan-18,12-Jan-18,Quad,8999,
Antarctic Classic,2-Jan-18,12-Jan-18,Triple,9999,
